Feature	Gain	Cover	Frequency
ctrx_quarter	0.21748159530957	0.0174966269532735	0.014264810255242
mcuentas_saldo	0.044828183293195	0.0131634317300698	0.0187335161705819
mtarjeta_visa_consumo	0.0360493172654201	0.0122644561581156	0.0156492328721512
mcaja_ahorro	0.0281948990663638	0.00702998774775609	0.0126438090898736
mdescubierto_preacordado	0.0209847043144415	0.00177122122893436	0.0015509038176768
foto_mes	0.0195217682625797	0.0150276762867638	0.0169109851306001
mpayroll	0.0182195363978698	0.0122702194263845	0.00554645263609838
ctarjeta_visa	0.0172744242469328	0.000433275525921579	0.000613351792301559
cpayroll_trx	0.0157041184704145	0.00806251968705514	0.0041883165245735
mprestamos_personales	0.0151649534080756	0.00776259033365697	0.00322447799381391
mcuenta_corriente	0.0121407317419024	0.00675765080390667	0.010514602153741
mdescubierto_preacordado_delta1	0.0110386644716532	0.00432426741034578	0.00111279539460426
Master_status	0.0108765508682521	0.00136916464227638	0.000639638297685911
mpasivos_margen	0.0100920961339928	0.00857164618199934	0.0103305966160505
cproductos_delta1	0.00852131289204166	0.0049243957996213	0.00184005537690468
cliente_edad_lag1	0.00840099530602042	0.0100108692399743	0.0151322649329256
mactivos_margen	0.00835003129184717	0.00802686364139352	0.0132396365452522
numero_de_cliente	0.00812889700630842	0.00990103973136044	0.0158858114206104
ctrx_quarter_delta1	0.00798573615465442	0.00610661015509439	0.0121005546452636
mrentabilidad_annual	0.00778548536758303	0.00755427602565346	0.0114258676737319
mrentabilidad_annual_delta1	0.00772421578023687	0.00629624419163858	0.0122933223514155
cliente_edad	0.00736784121869793	0.00717432147417044	0.0123458953621842
Master_fechaalta	0.00714438728476251	0.00845529375231521	0.0114171055052704
mcaja_ahorro_lag1	0.00654057374711707	0.00526656108415372	0.0094280932645211
Visa_fultimo_cierre_lag1	0.0064791551137573	0.00304733142330112	0.00607218274378543
Visa_status	0.00644694835565531	0.00122420209003027	0.000630876129224461
mprestamos_personales_delta1	0.00643837360869899	0.00912247230161086	0.00324200233073681
mrentabilidad	0.00627419359324476	0.00457879628802078	0.00879721713529664
mcuenta_corriente_lag1	0.00622508785768963	0.0075491472414254	0.0100502072252841
Visa_Fvencimiento	0.0061468162322377	0.00785387819693416	0.0112681486414258
Master_Fvencimiento	0.00609354349197711	0.0059390097199801	0.0111717647883498
Visa_Fvencimiento_lag1	0.00603849903610265	0.00534747270950847	0.0112418621360414
Visa_fechaalta_lag1	0.00596139305252682	0.00428358175203972	0.00906008218914017
Visa_fechaalta	0.00595802213620908	0.005315440593844	0.0101728775837444
mrentabilidad_annual_lag1	0.00592053977772642	0.00707640693050221	0.00948942844375126
ctrx_quarter_lag1	0.00576721279705552	0.00832967891081411	0.00856940075529892
mcuentas_saldo_delta1	0.00575719448676879	0.00812302230514921	0.00990125036143945
mcaja_ahorro_dolares_delta1	0.00568158469684026	0.00629042793500616	0.0062036152707072
Master_Fvencimiento_lag1	0.00567378940979886	0.00418725441248334	0.010514602153741
chomebanking_trx	0.00516627189724253	0.00429699369560088	0.00906008218914017
mcaja_ahorro_delta1	0.0051095158276866	0.00710453847562243	0.00805243281607332
Master_fechaalta_lag1	0.00497526807134404	0.00557179569673372	0.0100151585514383
mactivos_margen_lag1	0.00479173834175935	0.00663949707571272	0.0083065357014554
Visa_mpagominimo	0.00471251593507927	0.00679100349969522	0.00934047157990659
ctarjeta_visa_trx	0.00462919932014047	0.00711152536983807	0.0110841431037353
mactivos_margen_delta1	0.00460745308406832	0.0043382980102548	0.00751794053992482
mcomisiones_mantenimiento	0.00459673614016878	0.00703964868100244	0.00460890061072314
mprestamos_personales_lag1	0.00456756751737406	0.00267915978639751	0.001515855143831
mcuenta_corriente_delta1	0.004558843987374	0.00810845761617953	0.00845549256530006
Visa_mfinanciacion_limite	0.00448860250713483	0.00503218208305558	0.00670305887300989
ccaja_ahorro	0.00448116921740217	0.00416144907945941	0.00295285077150893
mrentabilidad_delta1	0.00443871692469297	0.00415976606810447	0.00776328125684544
cliente_antiguedad_lag1	0.00427776468492668	0.00492421060796705	0.00840291955453136
Visa_mpagospesos_lag1	0.00420456676878781	0.00512521282765686	0.00823643835376379
Master_mfinanciacion_limite	0.0041879248204488	0.00591727791518906	0.00781585426761415
mcuentas_saldo_lag1	0.0041675044138904	0.00616767155956717	0.00772823258299964
mtransferencias_recibidas	0.00414959921779012	0.00475000757808149	0.00703602127454503
cliente_antiguedad	0.00402153614802539	0.00352384537737547	0.00840291955453136
Visa_fultimo_cierre	0.00396672167094662	0.00417224769504413	0.00713240512762098
chomebanking_trx_delta1	0.00378170637382013	0.00680701684311634	0.00736022150761871
Visa_mpagominimo_lag1	0.00372126971671786	0.00519723578884368	0.00714992946454389
mrentabilidad_lag1	0.00371743375785176	0.00328800273521803	0.00706230777992938
Visa_mpagospesos_delta1	0.00348889431940166	0.00521734460517349	0.00766689740376949
cproductos	0.00342389592508144	0.00731789814750108	0.00722002681223549
mcomisiones_otras	0.00337818545925932	0.00306940096200496	0.00544130661456097
mtransferencias_recibidas_lag1	0.00335737325662256	0.00619988106773282	0.0067906805576244
mcaja_ahorro_dolares_lag1	0.00323420266192379	0.00390196299892387	0.00587065286917206
Master_mfinanciacion_limite_lag1	0.00322423737644506	0.00534556994554647	0.00607218274378543
chomebanking_trx_lag1	0.00320013921471975	0.00319859928495445	0.00689582657916181
ccomisiones_mantenimiento_delta1	0.00313451908513876	0.0052899667248255	0.0015333794807539
Visa_cconsumos_lag1	0.00312536511071867	0.00447856937192985	0.00599332322763237
mpasivos_margen_lag1	0.0030408123710258	0.00476560993672078	0.00641390731378202
Visa_mpagospesos	0.00303143257339117	0.00476573885213328	0.00651905333531942
mpasivos_margen_delta1	0.00298445483284871	0.00369482628657151	0.00647524249301217
Visa_Finiciomora	0.00296901034893562	0.00562516583642153	0.00127051442691037
Visa_mconsumospesos_lag1	0.00295056885650867	0.00321417725212483	0.00601960973301673
ccomisiones_mantenimiento	0.00294061238450362	0.00321218571544996	0.00132308743767908
Master_fultimo_cierre	0.0029060746384623	0.00294881022786378	0.00603713406993963
mcaja_ahorro_dolares	0.00288869395148877	0.00490359331744204	0.00565159865763579
thomebanking	0.00285632327987006	0.0019928003670627	0.0015859524915226
Master_fultimo_cierre_lag1	0.00282769378719047	0.00431431852013416	0.00641390731378202
mtarjeta_visa_consumo_lag1	0.00279494514419355	0.00474204609558136	0.00330333750996697
Visa_mconsumospesos	0.00269399423496695	0.00248341626035797	0.00605465840686253
Visa_mpagominimo_delta1	0.00266165096256262	0.00296008910306053	0.00491557650687392
Visa_mfinanciacion_limite_lag1	0.0025994994605911	0.00247246846685522	0.00491557650687392
mcomisiones	0.00259219944476271	0.00293542940445262	0.00488052783302812
cmobile_app_trx	0.00257185348000857	0.00320237422796447	0.005169679392256
Visa_msaldopesos	0.00249485277191879	0.00269438457427352	0.00500319819148843
mcuenta_debitos_automaticos	0.00247088198661016	0.00658423808819878	0.00382030544919257
ccomisiones_otras	0.00244017440406805	0.00475868444171999	0.00431098688303381
mautoservicio	0.00235995280333945	0.00471003852431037	0.00409193267149754
Visa_mconsumospesos_delta1	0.00235743872510567	0.00324342713462534	0.00524853890840905
mtarjeta_visa_debitos_automaticos_lag1	0.00233899631655542	0.00423876804789157	0.00433727338841817
mtransferencias_emitidas	0.0023092538296468	0.00854773734303003	0.00564283648917434
mcomisiones_lag1	0.00230153010137975	0.0017696371597762	0.0041707921876506
Visa_msaldototal	0.00223398299138277	0.00227236919028887	0.00404812182919029
Visa_cconsumos	0.00221482136755375	0.00316455353501474	0.00466147362149185
mpayroll_lag1	0.00218671626690587	0.00590581912423573	0.00419707869303495
Visa_mlimitecompra_lag1	0.00217790687580311	0.00328205924534339	0.00377649460688531
Visa_mlimitecompra	0.00217334787015029	0.00306281060119929	0.00361001340611775
mcomisiones_mantenimiento_lag1	0.00215351973457488	0.00537938623216893	0.00401307315534448
mtransferencias_recibidas_delta1	0.00207698382760081	0.00379818876804535	0.00476661964302926
ccomisiones_otras_lag1	0.00207466409896585	0.00386925472727322	0.00410069483995899
mtransferencias_emitidas_delta1	0.00204708835823402	0.0032325501451985	0.00385535412303837
mtarjeta_visa_debitos_automaticos	0.00202602911879948	0.00288194579473388	0.0041357435138048
Visa_mconsumosdolares_lag1	0.00199463140491751	0.00300357939798006	0.00455632759995444
mcomisiones_otras_lag1	0.00198097356954424	0.00143681724863996	0.00385535412303837
tcallcenter	0.00196686045443025	0.000872742661832599	0.000920027688452338
mpayroll_delta1	0.00196336620128232	0.00853881778809897	0.00460013844226169
cmobile_app_trx_lag1	0.00196231115154992	0.00358919165183687	0.00445118157841703
Master_mlimitecompra	0.00194330398163357	0.00230035622169046	0.00351362955304179
Visa_mconsumosdolares	0.00190446662662238	0.00267501943012753	0.00381154328073112
ccallcenter_trx_delta1	0.0018947582792193	0.00278702130872024	0.00132308743767908
mtransferencias_emitidas_lag1	0.00188192729887938	0.00322857318883154	0.0046702357899533
Visa_msaldopesos_delta1	0.00185846918449879	0.00244300946000527	0.003653824248425
Master_mlimitecompra_lag1	0.0018171617010627	0.00201822132417999	0.00329457534150552
mcomisiones_delta1	0.00177606393522459	0.00257621348914088	0.0036187755745792
mtarjeta_visa_debitos_automaticos_delta1	0.00177409504961009	0.00483292473270927	0.00325952666765971
Visa_msaldototal_lag1	0.00177115029774112	0.00158737148778747	0.00330333750996697
Visa_msaldopesos_lag1	0.00176191961619635	0.00302456011374563	0.00348734304765743
mcomisiones_otras_delta1	0.00176041387415678	0.00237806690640863	0.00353115388996469
ccaja_ahorro_delta1	0.00175133131189009	0.00589322708575653	0.000587065286917206
mpagomiscuentas	0.00173023199815855	0.00351346164614911	0.00276884523381847
cprestamos_personales	0.00172855468232303	0.00248631785114881	0.000963838530759592
