fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220524 213057	-0.0900411232928841	1690	666	20	5	9601000	89
20220524 213151	-0.185554942907641	7999	2000	3	5	8438000	90
20220524 213257	-0.298139896644652	6397	1323	10	5	8566000	91
20220524 213349	-0.612638594068913	3939	1968	7	5	9398000	92
20220524 213602	-0.486409391653372	3041	1	20	5	10125000	93
20220524 213714	-0.137198037191541	3612	464	16	5	9937000	94
20220524 213812	-0.999989869874739	2738	440	7	5	10158000	95
20220524 213924	-0.134898218498019	5310	2000	20	5	8694000	96
20220524 214030	-0.999706935547681	7997	276	7	5	8438000	97
20220524 214239	-0.79763445897322	2358	474	9	5	10047000	98
20220524 214539	-0.999837200299166	2949	749	20	5	10221000	99
20220524 214701	-0.651413354576073	2603	758	19	5	10449000	100
20220524 214858	-0.0819428944465162	3863	1	20	5	9838000	101
20220524 215008	-0.524867175829236	2614	542	18	5	9952000	102
20220524 215038	-0.0909652379884964	1421	263	3	5	9254000	103
20220524 215232	-0.104599784280368	5552	1	16	5	9699000	104
20220524 215436	-0.636542538929844	1909	1	20	5	9631000	105
20220524 215619	-0.276541241690281	1381	683	10	5	9515000	106
20220524 215731	-0.566182821968112	5039	934	12	5	8886000	107
20220524 215825	-0.46567927149458	7999	971	10	5	8438000	108
20220524 215932	-0.506812203363331	2943	871	20	5	10604000	109
20220524 220401	-0.653957005079323	2497	907	11	5	10581000	110
20220524 220526	-0.434350934709352	2372	906	20	5	10382000	111
20220524 220645	-0.231750309224523	3323	613	20	5	10374000	112
20220524 220753	-0.737652656759447	2413	752	20	5	10318000	113
20220524 220949	-0.447723979047096	5	2	10	5	9920000	114
20220524 221419	-0.99996139378811	4040	583	13	5	9786000	115
20220524 222040	-0.999938924601436	1368	15	18	5	9124000	116
