Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.145045225639552	0.0096187455468472	0.00432558967965192
ctrx_quarter	0.0811588323274808	0.00568945424071452	0.00370219587287855
mcaja_ahorro	0.0438617658934071	0.00605756168556771	0.00776061677819903
mcuentas_saldo	0.0421168633168795	0.00795262524744653	0.00863845703671662
mtarjeta_visa_consumo	0.0290818689947301	0.00872442307086158	0.00586499071270451
mpasivos_margen	0.0223664423800357	0.00519572035586696	0.00534337548662884
cpayroll_trx	0.0219646821835562	0.00731116757784687	0.00218823948500038
mpayroll_sobre_edad	0.0164098199132896	0.0112119386662763	0.00382941909875067
foto_mes	0.0140324499398001	0.0190936619358298	0.0147070049108165
Visa_Finiciomora_mean6	0.0132198756155727	0.00644700476189657	0.0017684028396224
mprestamos_personales	0.0131096167123553	0.00971952109711233	0.00480903793796596
mcaja_ahorro_lag1	0.0130811518324999	0.00376557295728348	0.00544515406732653
mpayroll	0.0119197460505238	0.00893521806189381	0.0034223047759599
ctarjeta_visa_trx	0.0110956403274378	0.00594937585986455	0.0062975496806697
mprestamos_personales_mean6	0.00907373149017589	0.00355251663451888	0.00282435561436096
mcuenta_corriente	0.00850995122557445	0.00259131863032207	0.00539426477697769
mv_Finiciomora_lag1	0.00849290302307047	0.00755779226783344	0.00258263148520394
mv_Finiciomora	0.00760709667439552	0.00539538676122013	0.00152667871046538
ctrx_quarter_normalizado_lag1	0.00746120559274507	0.00141104641228633	0.0027607440014249
mactivos_margen	0.00689666056144864	0.00683242353517678	0.0080659525202921
mv_mpagospesos	0.00668069163812559	0.00233995807716267	0.00232818503345971
mpasivos_margen_mean6	0.00657262717887022	0.00203549713629167	0.00347319406630875
mvr_mpagospesos	0.00648500740987624	0.00202950529753863	0.00250629754968067
mv_Finiciomora_mean6	0.00621146709817534	0.00489390221320833	0.00161573496857586
mv_status07	0.00571520840837956	0.000296394868985287	0.000241724129157019
cliente_vip_lag1	0.00561173542032709	0.00545031973946619	0.00194651535584336
ctrx_quarter_normalizado_delta1	0.0053709560436657	0.00508995022433928	0.00690822116485586
mrentabilidad_annual_delta1	0.00533711339574194	0.00762200714174684	0.0113228671026183
mprestamos_personales_delta1	0.00512631737309203	0.007581380400573	0.00433831200223913
mcuenta_corriente_delta1	0.00487807359980103	0.00643101819888691	0.00575048980941961
cprestamos_personales_mean6	0.00482625758003651	0.0026402863100076	0.00239179664639577
Visa_Finiciomora	0.00481772854945973	0.00433499859296291	0.00114500903284904
mrentabilidad_mean6	0.00438628478329655	0.00255828433568697	0.00436375664741355
mv_Finiciomora_delta1	0.00437324261248561	0.00493401303060341	0.00132312154907
mactivos_margen_mean6	0.00411928051000894	0.00376916461616473	0.00575048980941961
mrentabilidad_annual_mean6	0.0040141547879048	0.00759651943375904	0.00676827561639653
mcuentas_saldo_lag1	0.0040104486843986	0.00692700356046889	0.00590315768046615
mdescubierto_preacordado	0.0040065023573723	0.00177424518999275	0.00111956438767461
ctrx_quarter_delta1	0.00393296322810736	0.0030951480336132	0.00683188722933259
mv_msaldopesos	0.00390670224652859	0.00183149984963683	0.00166662425892471
cliente_edad_mean6	0.00354734439080736	0.00678783098670946	0.00889290348846085
mcuentas_saldo_delta1	0.00350375761009843	0.00714092780607266	0.0083967329075596
mcuenta_corriente_mean6	0.00348101920161231	0.00551123689688767	0.00791328464924557
mv_msaldototal	0.00338685269105275	0.00123825434240467	0.00151395638787817
mautoservicio	0.00324864817034596	0.00526688539390327	0.0024299636141574
ccaja_ahorro	0.00308779690083126	0.00736279566789457	0.00226457342052365
cliente_edad	0.00296836274035038	0.00533527351793827	0.00790056232665835
mv_mpagominimo	0.00294609149028661	0.00337804877590182	0.00307880206610519
ccomisiones_mantenimiento_mean6	0.00294325226736705	0.00712859476401059	0.00480903793796596
chomebanking_trx_mean6	0.00294021885722024	0.00274530863258199	0.00538154245439047
mcomisiones_mantenimiento	0.00286243871831043	0.00343608071191879	0.0037530851632274
mactivos_margen_delta1	0.00283258036714707	0.00342792472537357	0.0065138291646523
cliente_edad_lag1	0.00280745500827157	0.00644140117103303	0.00801506322994326
cproductos	0.00255152969198497	0.00463141785550748	0.00455459148622172
mcuenta_debitos_automaticos	0.00246793699143895	0.00825967522312527	0.00367675122770413
thomebanking_mean6	0.00241777661247914	0.00193549022707945	0.00381669677616346
mcuenta_corriente_lag1	0.00241340315355158	0.0026050610346651	0.00483448258314038
cpayroll_trx_lag1	0.00239802687753111	0.00100079426385243	0.000483448258314038
mcaja_ahorro_dolares_delta1	0.00239344905733386	0.00646657683661053	0.00371491819546576
cprestamos_personales_delta1	0.00236766095397142	0.00481007111223867	0.00119589832319788
mtransferencias_recibidas	0.00236045329115683	0.00337552618914957	0.00367675122770413
cpayroll_trx_mean6	0.00235817485351618	0.000790962915985984	0.00118317600061067
mcaja_ahorro_mean6	0.00230126760910182	0.00231521934901899	0.00480903793796596
