Feature	Gain	Cover	Frequency
mcaja_ahorro	0.146198967921276	0.01299327245165	0.00815157523683631
mtarjeta_visa_consumo	0.120054767904507	0.00630324178975622	0.00506719541749284
mcuenta_corriente_mean6	0.0433849488509832	0.00595356970823688	0.0103547036792245
ctrx_quarter_normalizado	0.0399299133539501	0.00820630476309481	0.00506719541749284
mpayroll	0.0343462043897128	0.0104044782848743	0.00374531835205993
mpasivos_margen	0.0321997993400766	0.00689022412624567	0.00660938532716457
cpayroll_trx	0.0274814932683535	0.00854884227303471	0.00198281559814937
ctrx_quarter_lag1	0.0197780519452195	0.00285696124644848	0.00286406697510465
mv_status04	0.0151377846439072	0.000196412571261095	0.000660938532716457
mcuentas_saldo	0.0121805439581026	0.0137995904492742	0.0121172064331351
foto_mes	0.0118227201821413	0.022595085555334	0.0129984578100903
mprestamos_personales_mean6	0.0112029675900191	0.00163822413227054	0.00242344128662701
mprestamos_personales_lag1	0.00874600146902724	0.00267419936599616	0.00220312844238819
mv_Finiciomora	0.00837629674776967	0.00550501718416348	0.00154218990967173
mactivos_margen	0.00785077683924219	0.0102632711389257	0.00881251376955276
ctrx_quarter	0.00754793927105749	0.00700700722917023	0.00594844679444812
mprestamos_personales_delta1	0.0074780887537236	0.0101711761274754	0.00528750826173166
mpayroll_sobre_edad	0.00736734166520981	0.01254299703337	0.0046265697290152
cprestamos_personales_mean6	0.0067171066814027	0.00456884349223676	0.00330469266358229
ctrx_quarter_normalizado_delta1	0.0064976992732947	0.00933270650278145	0.0092531394580304
Visa_Finiciomora	0.00627965446525345	0.00665244191756725	0.00154218990967173
mautoservicio	0.00602455481955914	0.00315639657515335	0.00176250275391055
cliente_vip_lag1	0.00561957010600585	0.0041888575959505	0.00132187706543291
mprestamos_personales	0.00560290389562518	0.00861138842070998	0.00330469266358229
mv_Finiciomora_delta1	0.005107771361602	0.00641271311915137	0.00132187706543291
cprestamos_personales	0.00469524207531452	0.00364839340303843	0.00198281559814937
mv_mpagospesos_lag1	0.0046632803521544	0.000357749683278051	0.00132187706543291
mv_mpagominimo	0.0045617115188333	0.00797395967167318	0.00506719541749284
mv_mpagospesos	0.00452427370639485	0.00206091657573524	0.00132187706543291
mcuentas_saldo_delta1	0.00452150192282452	0.00727441198956324	0.00991407799074686
mvr_mpagospesos	0.00431195797812657	0.00164462708787836	0.00264375413086583
Visa_Finiciomora_mean6	0.00403046339132888	0.00468425371866779	0.00132187706543291
mv_status07	0.00402570350320235	0.00297161792597348	0.000660938532716457
mrentabilidad_annual_delta1	0.00372322369033731	0.00434859813594304	0.00859220092531395
mcuenta_corriente	0.00366575070237626	0.00315764663841423	0.0046265697290152
mrentabilidad_mean6	0.00359913848225917	0.00237784138600649	0.00484688257325402
mv_Finiciomora_lag1	0.00354506414082259	0.00633563465710439	0.00176250275391055
mcuenta_corriente_delta1	0.00350707413951219	0.00719895992561146	0.00638907248292576
