Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.152086795493147	0.0131122690502357	0.00617419886303392
ctrx_quarter	0.0771238611922277	0.00668568473267827	0.00539120931105076
mcuentas_saldo	0.0423463799934982	0.00814419514776416	0.00954268516479483
mcaja_ahorro	0.0336941540378369	0.00781504369005508	0.0124788959847317
mtarjeta_visa_consumo	0.0213034340325434	0.012824406510781	0.0107334817751026
mpasivos_margen	0.0201833530827362	0.00571587728001049	0.00649228836852708
cpayroll_trx	0.0159266920761689	0.0086435036465463	0.00379260564241846
mpayroll_sobre_edad	0.0146279238400981	0.0123559309032614	0.00448587764157022
foto_mes	0.0139641085066149	0.0160564213275541	0.0112310063862585
mpayroll	0.0127359121519648	0.0118801545480887	0.00402097759508022
mprestamos_personales	0.0113280399592088	0.00793429744910018	0.00367841966608758
mv_Finiciomora	0.0101374926417511	0.00585301951447728	0.00132945101013808
mv_Finiciomora_lag1	0.00930056794001237	0.00608020894530326	0.00200641072695686
mcaja_ahorro_lag1	0.00806633475154865	0.00348698591556127	0.00580717251054181
Visa_Finiciomora_mean6	0.00777938642855673	0.00263767359494321	0.00141916856296949
mprestamos_personales_mean6	0.00729318892589736	0.00171476751190603	0.0016883212214637
ctarjeta_visa_trx	0.00721508500726726	0.00601956881363787	0.0075118060143385
mv_mpagospesos	0.00703198709122532	0.00300883061157154	0.00315642663143214
mactivos_margen	0.00642841945676823	0.00677288902489012	0.00955084130596132
mv_Finiciomora_delta1	0.00641252175697057	0.00483714557363541	0.00101136150464492
mrentabilidad_annual_delta1	0.00617903773462521	0.00537527660372142	0.00927353250630062
cliente_vip_lag1	0.0056921081022772	0.00331961887054051	0.0012234211749737
mvr_mpagospesos	0.00547953608342454	0.00217030527826966	0.0023489686559495
mpasivos_margen_mean6	0.00505854384279834	0.00150680499670616	0.00346635999575881
mdescubierto_preacordado	0.0050150230591213	0.000554353055821777	0.0005627737404879
Visa_Finiciomora	0.00487926210187045	0.00489420597051103	0.00100320536347843
mcuenta_corriente_delta1	0.00477638276880628	0.00637001453713639	0.00528517947588637
mcuenta_corriente	0.00475777438825573	0.00281590926726631	0.00574192338120988
mprestamos_personales_delta1	0.00464127401652287	0.00636739719127677	0.00303408451393477
mrentabilidad_mean6	0.00449313154712988	0.00187787762958214	0.00415147585374408
ctrx_quarter_delta1	0.00432821505475297	0.00317954681148455	0.00608448131020252
cprestamos_personales_mean6	0.00431805427448	0.00143703029796459	0.00173725806846265
ctrx_quarter_normalizado_delta1	0.00430796028161298	0.00412135449266332	0.00566851811071146
mv_status07	0.00421958063679768	0.000103798797148924	8.15614116649131e-05
ctrx_quarter_normalizado_mean6	0.00420483586735445	0.00130333557981916	0.00218584583261967
mactivos_margen_mean6	0.00410058683105366	0.00311453114929868	0.00644335152152814
cliente_edad_mean6	0.00404114062385202	0.00793807701289857	0.00940403076496448
mcuentas_saldo_delta1	0.0039124989110564	0.00612717424986278	0.0072263410735113
Visa_Finiciomora_lag1	0.00389912200216603	0.00234370286250955	0.000628022869819831
mv_msaldototal	0.00365446426278736	0.00165998402680694	0.00239790550294845
mcuenta_corriente_mean6	0.00352696299561329	0.00523429687575141	0.00681853401518674
mcaja_ahorro_mean6	0.00344595370250798	0.00241104399595643	0.005162837358389
chomebanking_trx_mean6	0.003438831564159	0.00294001933714359	0.0053504286052183
mactivos_margen_delta1	0.00334129913512622	0.00303454467052458	0.00573376724004339
mrentabilidad_annual_mean6	0.00327650698089839	0.00427316096667454	0.00515468121722251
cliente_edad	0.00312671523524866	0.00529143031893044	0.00766677269650183
mcuenta_corriente_lag1	0.00304872539130977	0.00231928696734417	0.00436353552407285
cpayroll_trx_mean6	0.00294998092572796	0.000870575317826872	0.00126420188080615
chomebanking_trx_delta1	0.00292651332717981	0.00645304105706944	0.00540752159338374
cliente_edad_lag1	0.00281584245821208	0.00665542083639852	0.007503649873172
ccomisiones_mantenimiento_mean6	0.00280221378040436	0.0048821991461663	0.00381707406591793
mtransferencias_recibidas	0.00276373948422105	0.0028932120838699	0.00335217401942793
mrentabilidad_delta1	0.00273678621266395	0.0022065733114902	0.00531780404055233
ccaja_ahorro	0.00270804965255575	0.00699120097435411	0.00212059670328774
mdescubierto_preacordado_mean6	0.00270194343888136	0.000538365906824908	0.00061986672865334
cproductos	0.00267323947959521	0.00719294352693004	0.00486921627639531
mcuentas_saldo_lag1	0.00266002277092786	0.00714537267835137	0.00528517947588637
mcomisiones_mean6	0.00259820226889242	0.00167751798693042	0.00358870211325618
mrentabilidad_annual_lag1	0.00255814049604439	0.00193262032057274	0.00494262154689373
mcaja_ahorro_delta1	0.00251750088844798	0.00577312083622096	0.00455112677090215
mcuentas_saldo_mean6	0.00246722662992035	0.00242736365835289	0.00365395124258811
ctransferencias_recibidas_mean6	0.00244902610179706	0.00316860503434045	0.0048855285587283
thomebanking_mean6	0.00244559254116429	0.00145666826082605	0.0030993336432667
mcuenta_debitos_automaticos	0.00238787088413368	0.0083930891668465	0.00274046343194108
mv_mpagominimo	0.00236147473427819	0.00366403301943643	0.00351529684275775
mpasivos_margen_delta1	0.00231095896688302	0.00257806574059182	0.00469793731189899
mtarjeta_visa_debitos_automaticos_mean6	0.00230588108713896	0.00206187438257777	0.00295252310226985
Visa_mpagospesos_mean6	0.00225631844450133	0.00255608589564144	0.00363763896025512
mcaja_ahorro_dolares_delta1	0.00225270583475338	0.00513102042956027	0.00340111086642688
cprestamos_personales_delta1	0.00225078399047113	0.00364023390220078	0.000921643951813518
mrentabilidad_lag1	0.00223890279495313	0.00140784014610658	0.00432275481824039
mrentabilidad	0.00223524306698802	0.00203373871700906	0.0041270074302446
mcomisiones_otras_mean6	0.00223247869642186	0.00311239101167779	0.00332770559592845
mtransferencias_emitidas_mean6	0.0022279360461955	0.00351425356740261	0.00633732168636375
mtransferencias_recibidas_lag1	0.00218772608982169	0.00649518090522403	0.00388232319524986
numero_de_cliente	0.0021828932735984	0.00199991315338101	0.0047876548647304
mv_msaldopesos	0.00217480561019427	0.00222274336097605	0.00238974936178195
Visa_mpagospesos	0.00216598161020225	0.00302171161017526	0.00517099349955549
mcomisiones_mantenimiento_mean6	0.00216216212678341	0.00184080743302257	0.00340111086642688
mcomisiones_mantenimiento	0.00215927984730533	0.00320066625277603	0.00273230729077459
mprestamos_personales_lag1	0.00215011777612577	0.000972550235234109	0.0010276737869779
mautoservicio	0.00212832005462968	0.00588303600587822	0.00252840376161231
cprestamos_personales	0.00210915409571579	0.000736325685913705	0.000570929881654392
Master_fultimo_cierre_mean6	0.00210314829065659	0.00194400229099672	0.00393126004224881
mv_fultimo_cierre_mean6	0.00208048541104172	0.00154293630754023	0.00343373543109284
mactivos_margen_lag1	0.00204548438558809	0.00300760642593243	0.00517914964072198
ccomisiones_otras_mean6	0.0020139148067957	0.0064487680812811	0.00466531274723303
Visa_fechaalta_mean6	0.00199187374904248	0.00166381277131989	0.00387416705408337
Master_Fvencimiento_mean6	0.00197514480212465	0.00130016901480086	0.00427381797124145
ctarjeta_visa	0.00197012294556772	2.20001384662828e-05	2.44684234994739e-05
chomebanking_trx	0.00191025008885228	0.00210750145400958	0.00362948281908863
Visa_cconsumos_mean6	0.00190253982268694	0.00172495206135345	0.00304224065510126
Master_Fvencimiento_lag1	0.00190056215696855	0.00137744791404642	0.00390679161874934
Visa_fultimo_cierre_mean6	0.00189957988399271	0.00139650999662499	0.00310748978443319
Master_Fvencimiento	0.00188706982112518	0.00122764433757788	0.00410253900674513
Visa_mpagospesos_delta1	0.00186631070125688	0.00239084785786932	0.00376813721891899
ctrx_quarter_mean6	0.00185129862793716	0.00122124131915744	0.00198194230345739
mpasivos_margen_lag1	0.00183732422724562	0.00178971881735448	0.00389047933641635
ctrx_quarter_lag1	0.00182883368032816	0.00190281038817295	0.00294436696110336
ctarjeta_visa_debitos_automaticos_mean6	0.00181442645003391	0.0050561306258896	0.00329508103126249
mcomisiones_otras	0.00180538079472424	0.00172973273742355	0.0029117423964374
mv_Fvencimiento	0.00175035859152241	0.00118853329667166	0.003286924890096
chomebanking_trx_lag1	0.00174284979132448	0.00132834506032468	0.00374366879541951
mrentabilidad_annual	0.00173813531693716	0.00136846782618312	0.00322167576076407
ctarjeta_visa_trx_mean6	0.00172102974678752	0.00196443801681749	0.00212059670328774
mtransferencias_emitidas_delta1	0.00171228576077682	0.00712159312986319	0.0046000636179011
mcaja_ahorro_dolares_mean6	0.00170905445401707	0.00142077239619178	0.00331139331359547
Visa_mpagominimo	0.00169829585338168	0.00272478019872519	0.0038496986305839
mcomisiones	0.0016886716964738	0.00187008440178407	0.00284649326710547
mtransferencias_recibidas_mean6	0.0016846141812096	0.00149530173110933	0.00349082841925828
cproductos_mean6	0.00167738280911739	0.00330596102372347	0.0048855285587283
Visa_Fvencimiento_mean6	0.00167322666355394	0.00106186505309976	0.00326245646659652
mcomisiones_lag1	0.00167003668948849	0.0010750467788307	0.00311564592559968
cliente_antiguedad	0.00164623262649517	0.00246498913106441	0.00392310390108232
Visa_Fvencimiento	0.00162116159720654	0.00126434003593839	0.00331139331359547
tmobile_app_delta1	0.00161241774334783	0.000820455924619794	0.00203903529162283
Master_fechaalta	0.00161087225037211	0.0046733426291141	0.00426566183007495
Master_fechaalta_mean6	0.00158030438406573	0.0016505528223682	0.00389047933641635
cmobile_app_trx_mean6	0.00157467063939285	0.0013390492169637	0.00327876874892951
mcomisiones_delta1	0.00156747732970141	0.00140687920671329	0.00322167576076407
mtransferencias_emitidas_lag1	0.00154884709868849	0.00238269307416548	0.00360501439558916
mcomisiones_otras_delta1	0.00154380198935909	0.0010868381398765	0.0031890511960981
cliente_antiguedad_mean6	0.00151170620684121	0.00163696947139142	0.00349898456042477
Visa_mconsumospesos	0.00150594453803066	0.00132927364398471	0.00325430032543003
Visa_fechaalta_lag1	0.00149856470661322	0.00145098825067878	0.00370288808958705
mv_status06_mean6	0.00148729988595061	3.8483132604246e-05	0.000106029835164387
Visa_fechaalta	0.00145680224338455	0.00147285875913533	0.00423303726540899
mcomisiones_otras_lag1	0.00145576138894708	0.00102423761315965	0.00277308799660705
mpagomiscuentas	0.00145413606750796	0.00466444444008283	0.0021613774091202
Master_fultimo_cierre	0.00143798392027628	0.00205005589448521	0.00307486521976722
mv_Finiciomora_mean6	0.00143416401268109	0.00362595710314872	0.00194931773879142
ctrx_quarter_normalizado_lag1	0.00142640791520203	0.00152185025736548	0.00287911783177143
mvr_msaldopesos2	0.00142623906752984	0.00141679072554115	0.00334401787826144
mvr_mpagominimo	0.00140153050519012	0.00481086210554614	0.00429828639474092
mpayroll_mean6	0.00137938893783538	0.00380486380749509	0.00332770559592845
internet_mean6	0.00137867744277749	0.001130674619145	0.00194931773879142
Visa_mpagospesos_lag1	0.00137148083270958	0.0019759500314046	0.00358054597208969
cmobile_app_trx_lag1	0.00136501468494433	0.00280439476775889	0.00296067924343635
mv_fechaalta	0.00136029763786047	0.00141721455976229	0.00327876874892951
Visa_fultimo_cierre	0.00135799609536056	0.0010606523602171	0.00269152658494213
Master_mfinanciacion_limite	0.00135050463019256	0.00235609428004213	0.00297699152576933
mdescubierto_preacordado_delta1	0.00134349076626715	0.00250356814017746	0.000554617599321409
ctransferencias_emitidas_mean6	0.00133790734246198	0.00193254737780767	0.00325430032543003
internet	0.0013372730620268	0.000862745385684983	0.00155782296279984
mv_Fvencimiento_mean6	0.00133206744138373	0.00101691294814838	0.0029117423964374
mv_fechaalta_mean6	0.00133167501907246	0.00135324763748749	0.00304224065510126
mv_Fvencimiento_lag1	0.00132198120218052	0.000937417189367226	0.00270783886727511
Visa_msaldototal	0.00130967649194749	0.00176255506624379	0.00241421778528143
ctarjeta_master	0.00130629337419422	7.42601869859765e-05	9.78736939978957e-05
mv_cconsumos_mean6	0.00129502237038613	0.00157754073837937	0.00230818795011704
Visa_mconsumospesos_lag1	0.00128673292338209	0.00100682230798118	0.00237343707944897
Visa_Fvencimiento_lag1	0.00128345072544115	0.000933480454358943	0.00260180903211073
cliente_antiguedad_lag1	0.00128078321008542	0.00127875345383857	0.00298514766693582
mvr_mpagominimo_lag1	0.00127839983434882	0.00252473298303385	0.00392310390108232
mv_fultimo_cierre	0.00127392041794782	0.000965842192845054	0.00244684234994739
mv_mpagominimo_mean6	0.00126626341135409	0.00225478350935813	0.00275677571427406
mv_status02_mean6	0.00125548036043895	0.000510860634478492	0.000554617599321409
Visa_mpagominimo_mean6	0.00125072837454962	0.00162186379610696	0.00260996517327722
mvr_msaldopesos2_mean6	0.00124623446818972	0.00170524736802771	0.0054401461580497
Master_fultimo_cierre_lag1	0.00124087609464857	0.00146445584578425	0.00271599500844161
Visa_mconsumospesos_delta1	0.00123491791875547	0.00148808899105056	0.00266705816144266
mv_fechaalta_lag1	0.0012324384675995	0.00162169067999171	0.00315642663143214
Visa_mconsumospesos_mean6	0.00123005927783382	0.00169381430142976	0.0023489686559495
mvr_mpagominimo_mean6	0.00122978368051705	0.00198919284475994	0.00388232319524986
Visa_msaldopesos	0.00122234992972736	0.00183082245373791	0.00274861957310757
Master_fechaalta_lag1	0.00121988900311664	0.000984061525052791	0.00311564592559968
ccallcenter_trx_mean6	0.00121373250453643	0.00302647427057308	0.00339295472526038
cmobile_app_trx_delta1	0.00121084577587626	0.00430079302172617	0.00274046343194108
mvr_mpagospesos_delta1	0.00117129936011534	0.00168263982185204	0.00233265637361651
Visa_cconsumos	0.00114455843077282	0.00139558715934319	0.00237343707944897
mtransferencias_recibidas_delta1	0.00113717387689631	0.0033948817228734	0.00255287218511178
mv_status04	0.00113336718225558	7.16190273066779e-05	8.15614116649131e-05
mpayroll_sobre_edad_mean6	0.00112895109568717	0.00265232841249811	0.00274046343194108
mcomisiones_mantenimiento_lag1	0.00112283053970787	0.00384822256083312	0.00223478267961862
mv_mpagospesos_delta1	0.00110917224183932	0.00333432525019194	0.00223478267961862
ccomisiones_otras_lag1	0.00109883359244659	0.0020770261324264	0.00238974936178195
Visa_mfinanciacion_limite	0.00109455307542601	0.000917338515534148	0.00201456686812335
Visa_mpagominimo_lag1	0.00109425783568889	0.00130792408871827	0.00284649326710547
ccajas_consultas_mean6	0.00108754657171412	0.00614464536220998	0.00238974936178195
mvr_mpagominimo_delta1	0.00108013100221166	0.00377452329283898	0.00250393533811283
Visa_delinquency	0.00107996757491785	0.000914303133600785	0.000342557928992635
mcuenta_debitos_automaticos_mean6	0.00107500246122046	0.00127859607555198	0.00199009844462388
cmobile_app_trx	0.00107277671219184	0.00151398947079635	0.00213690898562072
ccomisiones_mantenimiento	0.00106623678661195	0.00244018900509539	0.000986893081145448
tmobile_app_mean6	0.00106544315356236	0.000646416506170327	0.00203903529162283
mcaja_ahorro_dolares	0.00105189859748201	0.00105065956378728	0.00215322126795371
Visa_msaldototal_delta1	0.00104790625486627	0.00128738177016984	0.00203903529162283
